sep=_
Title,Href,Author,Date,Abstract,Keyword
"Is the sun still rising in the East?","/handle/1826/10112","
Antill, Peter D.
","(2016-07-11)"," Procurement International - Summer 2016 11 The Japan Maritime Self-Defence Force  submarine JS Hakuryu arrives at the  submarine piers of Joint Base Pearl  Harbour-Hickam (US Navy photo by Mass  Communication Specialist 1st Class Steven Khor) military forces..., an arms build-up, especially  in terms of maritime military power. The  argument is, that:4 t�&DPOPNJD�HSPXUI�IBT�MFE�UP�BO� expansion in maritime commerce; t��5IF�FYQBOTJPO�JO�NBSJUJNF�DPNNFSDF� has led fi rstly, to an increase in piracy,  and secondly, a... ","Maritime"
"A previously undescribed Helotialean fungus that is superabundant in soil under maritime Antarctic higher plants","/handle/1826/16134","
Newsham, Kevin K.; Cox, Filipa; Sands, Chester J.; Garnett, Mark H.; Magan, Naresh; Horrocks, Claire A.; Dungait, Jennifer A. J.; Robinson, Clare H.
","(Frontiers Media, 2020-12-18)","We report a previously undescribed member of the Helotiales that is superabundant in soils at two maritime Antarctic islands under Antarctic Hairgrass (Deschampsia antarctica Desv.). High throughput sequencing showed that up to 92% of DNA reads... ","Maritime"
"Telexistence-based remote maintenance for marine engineers","/handle/1826/19620","
Mazeas, Damien; Erkoyuncu, John Ahmet; Noël, Frédéric
","(IEEE, 2023-05-01)","Remote work practice has seen significant developments in the field of maintenance, which is beneficial in the maritime sector. The defense industry is investigating the utilization of unmanned vehicle systems (UVS) to fulfil the demands... ","Maritime"
"An integrated shipment planning and storage capacity decision under uncertainty: a simulation study","/handle/1826/11456","
Pujawan, Nyoman; Arief, Mansur Maturidi; Tjahjono, Benny; Kritchanchai, Duangpun
","(Emerald, 2015-10-31)"," parameters, namely shipment planning and storage capacity decision under uncertainty. The ultimate goal is to provide a near optimal solution that leads to a striking balance between the total logistics costs and product availability, critical in maritime... ","Maritime"
"Self-supervised vessel detection from low resolution satellite imagery","/handle/1826/17467","
Farr, Alexander J.; Petrunin, Ivan; Kakareko, Grzegorz; Cappaert, Jeroen
","(AIAA, 2021-12-29)"," Maritime surveillance is a growing field of application for optical imaging satellites. In this paper, we aim to increase the practical effectiveness of vessel detection algorithms by developing a computationally inexpensive method that can discern... ","Maritime"
"Inhibitory effects of climate change on the growth and extracellular enzyme activities of a widespread Antarctic soil fungus","/handle/1826/16128","
Misiak, Marta; Goodall‐Copestake, William P.; Sparks, Tim H.; Worland, M. Roger; Boddy, Lynne; Magan, Naresh; Convey, Peter; Hopkins, David W.; Newsham, Kevin K.
","(Wiley, 2020-12-18)"," environment. Here, in a five‐year field experiment on Alexander Island in the southern maritime Antarctic, we show that the abundance of Pseudogymnoascus roseus, the most widespread decomposer fungus in maritime Antarctic fellfield soils, is reduced by 1... ","Maritime"
"Adaptive detection tracking system for autonomous UAV maritime patrolling","/handle/1826/15697","
Panico, Alessandro; Zanotti Fragonara, Luca; Al-Rubaye, Saba
","(IEEE, 2020-08-06)","                             Adaptive Detection Tracking System for Autonomous UAV Maritime Patrolling Alessandro Panico Flight Test Wing Italian Air Force Pratica di Mare, ITA panicoale@gmail.com Luca Zanotti Fragonara Centre for Autonomous... ","Maritime"
"The Application of Deep Learning Algorithms to Longwave  Infrared Missile Seekers","/handle/1826/19290","
Westlake, Samuel T
","(2021-12)"," algorithm to successfully detect military ships in  longwave infrared imagery.Benchmarking YOLOv3’s detection accuracy against two alternative CNNs— Faster R-CNN and Mask R-CNN—using visual-spectrum and near-infrared data  from the Singapore Maritime dataset... ","Maritime"
"Cost-benefit analysis of a trans-Arctic alternative route to the Suez Canal: a method based on high-fidelity ship performance, weather, and ice forecast models","/handle/1826/19497","
Li, Zhiyuan; Ding, Li; Huang, Luofeng; Ringsberg, Jonas W.; Gong, Hui; Fournier, Nicolas; Chuang, Zhenju
","(MDPI, 2023-03-25)","Climate change in recent years has produced viable shipping routes in the Arctic. However, critical uncertainties related to maritime operations in the Arctic make it difficult to predict ship speeds in ice and, thus, the voyage time and fuel costs... ","Maritime"
"Defence and development: a case study of the Philippines","/handle/1826/10671","
Avila-Goldman, A P
","(2016-10-05)",".3.3 What is Insurgency?       91   3.3.4 Counter-insurgency not Conventional Warfare   92  3.4 Role of the Military During Natural Disasters    93  3.5 Transnational Crime        96   3.5.1 Maritime Security       97   3.5.2 Domain Awareness       99  3... Methodology Model    34  Figure 2.1: Japan’s Integrated Security Strategy     69  Figure 3.1: World Military Expenditure, 1988-2014     84  Figure 3.2: Total Number of Reported Natural Disasters between 1980-2014 93  Figure 3.3: Domains of Maritime Security... ","Maritime"
"Propulsion of a hydrogen-fuelled LH2 tanker ship","/handle/1826/17894","
Alkhaledi, Abdullah N. F. N. R.; Sampath, Suresh; Pilidis, Pericles
","(Elsevier, 2022-05-11)"," g y 4 7 ( 2 0 2 2 ) 1 7 4 0 7e1 7 4 2 2 17409Introduction in themaritime sector, especially for LH2 tankers, because theThe International Maritime Organization (IMO)dthe U.N. agency responsible for the safety of lives at sea, efficient shipping..., and the prevention of pollution produced from in- ternational shippingdhas drafted strict environmental regu- lations to reduce the impact of maritime shipping emissions on the global environment. In April 2018, the IMO adopted an initial strategy to reduce... ","Maritime"
"Enter the vanguard state: reinterpreting ASEAN’s response to the South China Sea issue","/handle/1826/11455","
Southgate, L.; Khoo, N.
","(Sage, 2016-08-01)",", the ASEAN states were unable to reach an agreementon the South China Sea, and failed to issue a joint communiqué for the first time in itshistory (Zhang, 2015, p. 74). More importantly, ASEAN’s maritime sovereignty continuesto be violated by China... firing a shot. Meanwhile, China protested Vietnam’s passageof a June 2012 maritime law declaring sovereignty over the Paracel and Spratly Islands.In that same month, China unilaterally established a municipality called Sansha (threesandbanks in Chinese... ","Maritime"
"Techno environmental assessment of Flettner rotor as assistance propulsion system for LH2 tanker ship fuelled by hydrogen","/handle/1826/18884","
Alkhaledi, Abdullah N. F. N. R.; Sampath, Suresh; Pilidis, Pericles
","(Elsevier, 2022-12-10)"," at  the 2021 UN Climate Change Conference held in Glasgow, represents a  significant challenge [1]. In April 2018, The International Maritime  Organization (IMO), London, adopted the initial GHG strategy that  included, among others, reducing GHG emissions from...]. Furthermore, the United Kingdom  published the Clean Maritime Plan in July 2019 as an environmental  route map to achieve the UK vision of maritime 2050. The government  published it to transition to a future zero-emission shipping in UK waters... ","Maritime"
"Is sea-basing a viable method of providing logistic support to the UK amphibious  force?","/handle/1826/7513","
Moore, David M.; Antill, Peter D.; MacLennan, W. R.
","(2000-10-01)","                              1 Is Sea-Basing a Viable Method of Providing  Logistic Support to the UK Amphibious Force ?    David M Moore, Peter D Antill and W R MacLennan    Maritime power has traditionally been a central part of the UK’s defence... Services Logistics Business Process, Unpublished  report to the MOD, 1995.    Creveld, M V. Supplying War, Cambridge University Press, 1977.    Directorate of Naval Staff Duties, The Fundamentals of British Maritime Doctrine, HMSO,  1995.    Department... ","Maritime"
"Techno-environmental assessment of a hydrogen-fuelled combined-cycle gas turbine for a liquid hydrogen tanker","/handle/1826/18370","
Alkhaledi, Abdullah N. F. N. R.; Batra, Amit; Sampath, Suresh; Pilidis, Pericles
","(Elsevier, 2022-08-27)"," negative impact of climate change and limiting the global emperature increase to approximately 1.5 ◦C (COP26, 2021). n the same direction, the International Maritime Organisation IMO) aims to reduce 50% of greenhouse gas emissions from lobal shipping... by 2050 compared to 2008 (IMO, 2018). Re- arding the environment, maritime transportation and shipping ectors are responsible for approximately 3% of the CO2 emissions lobally (Tillig and Ringsberg, 2020). Moreover, several studies ave shown... ","Maritime"
"Taking to the skies","/handle/1826/10113","
Antill, Peter D.
","(2016-07-11)"," Antill t Economic Imperatives – As the  economies in the region expand and  trade increases, the importance of  maritime trade routes (to the region’s  continued growth) has increased as well.  t Geostrategic Imperatives – Uncertainty  exists as to where... system  (Photo by Oleg V. Belyakov - AirTeamImages) Defence Procurement International - Summer 2016   94 AIR SYSTEMS  air and maritime forces are “uniquely  equipped to provide international aid  and rapid response to natural and man- made disasters”.11... ","Maritime"
"Automatic x-ray image segmentation and clustering for threat detection","/handle/1826/13502","
Kechagias-Stamatis, Odysseas; Aouf, Nabil; Nam, David; Belloni, Carole
","(SPIE, 2017-10-05)","Firearms currently pose a known risk at the borders. The enormous number of X-ray images from parcels, luggage and freight coming into each country via rail, aviation and maritime presents a continual challenge to screening officers. To further... ","Maritime"
"Polarimetric imaging for air accident investigation","/handle/1826/12101","
Privett, G. J.; Ashe, M. D.; Greaves, Matthew J.; Holland, D.; Davidson, L.
","(SPIE - International Society for Optics and Photonics, 2012-09-24)"," against aircraft  debris distributed across an arid terrain, a littoral region and a small number of maritime debris targets      A debris field realistically simulating an aircrash and a debris grid of aircraft remains were observed from an air platform... commercial satellite imagery  (CSI) were optimised. Unfortunately, these trials were somewhat hampered by poor weather and background conditions  limited to a single type of environment (maritime temperate). Dstl took part in the K3 and K4 trials with a remit... ","Maritime"
"COVID-19 transmission inside a small passenger vessel: risks and mitigation","/handle/1826/17925","
Huang, Luofeng; Riyadi, Soegeng; Utama, I.K.A.P.; Li, Minghao; Sun, Peiyign; Thomas, Giles
","(Elsevier, 2022-05-19)"," in a compact space. In order to accelerate the recovery of the maritime business and minimise passengers' risk of being infected, this work has developed a computational model to study the airborne transmission of COVID-19 viruses in the superstructure... ","Maritime"
"Modified immersion suits for helicopter aircrew: evidence for improved conspicuity from sea trials","/handle/1826/15575","
Nixon, Jim; Hodgkinson, Jane; Bennett, Christopher
","(Elsevier, 2020-07-13)"," the joint auspices of the International Civil Aviation Authority (ICAO) and  the International Maritime Organization (IMO). Procedures are documented in the three volumes of  the International Aeronautical and Maritime Search and Rescue Manuals (IAMSAR.... Macdonald: London, UK    IAMSAR Volume 1 (2016) International Aeronautical and Maritime Search and Rescue Manuals:  Volume 1: Organization and Management. Tenth Edition. Published jointly between the  International Civil Aviation Authority (ICAO) (Montreal... ","Maritime"
"A new ‘normal’ in defence human factors?","/handle/1826/16913","
Oates, Edward
","(Chartered Institute of Ergonomics & Human Factors, 2021-07-01)"," military  maritime search task. Th e game’s HCI,  representing a mission system, brought  together the controls, functions and displays  within the Merlin Mk2 helicopter: tactical  symbols, radar, camera and electronic  support measures for detecting ships... of the game requires access  to real system data and ultimately to the  players’ belief in the game’s task. Within  this research, a feedback questionnaire ran  alongside the game and acted as validation of  the displays and maritime tasks. As with any... ","Maritime"
"Techno–economic and risk evaluation of combined cycle propulsion systems in large container ships","/handle/1826/18227","
Alzayedi, Abdulaziz M. T.; Sampath, Suresh; Pilidis, Pericles
","(MDPI, 2022-07-17)","Owing to the stringent regulations on pollutant emissions that are imposed by the International Maritime Organization and increasing fuel prices, there has been significant research on developing cleaner fuels and novel propulsion systems... ","Maritime"
"Improving the Logistic Support to the United Kingdom's Amphibious Operations (Part I)","/handle/1826/7515","
Moore, David M.; Antill, Peter D.; Foden-Ellis, N. J.
","(2002-01-01)"," of  expeditionary operations envisaged for the UK Armed forces in the future.20 This  concept has been adopted as the Maritime Contribution to Joint Operations (MCJO)  and its main thrust centres around force projection and its four enabling tenets (force... 2010 (discussed earlier). The MCJO concept entails:  • Force Projection – This is at the heart of the MCJO concept and will be  conducted by Command and Control Warfare (C2W), Maritime Fires (naval  gunfire and air support) and Air / Ground Manoeuvre... ","Maritime"
"Local feature based automatic target recognition for future 3D active homing seeker missiles","/handle/1826/14566","
Kechagias-Stamatis, Odysseas; Aouf, Nabil; Gray, Greer Jillian; Chermak, Lounis; Richardson, Mark A.; Oudyi, F.
","(Elsevier, 2017-12-13)"," air-to-ground and maritime missile engagement scenarios. It should be noted that although SHOT is a high performing descriptor, the dataset we use is very challenging as it is highly realistic, cluttered, occluded, and incorporates sensor noise while... verification pseudo code (Algorithm 1). 4. Scenario Generation and Evaluation 4.1. Oktal SE synthetic environment Real military LIDAR point clouds are classified, hence we create a number of simulated but highly credible air-to-ground and maritime missile... ","Maritime"
"Local feature based automatic target recognition for future 3D active homing seeker missiles","/handle/1826/14789","
Kechagias-Stamatis, Odysseas; Aouf, Nabil; Gray, Greer Jillian; Chermak, Lounis; Richardson, Mark A.; Oudyi, F.
","(Elsevier, 2017-12-13)"," air-to-ground and maritime missile engagement scenarios. It should be noted that although SHOT is a high performing descriptor, the dataset we use is very challenging as it is highly realistic, cluttered, occluded, and incorporates sensor noise while... verification pseudo code (Algorithm 1). 4. Scenario Generation and Evaluation 4.1. Oktal SE synthetic environment Real military LIDAR point clouds are classified, hence we create a number of simulated but highly credible air-to-ground and maritime missile... ","Maritime"
"Improving the logistic support to the United Kingdom's amphibious operations (Part II)","/handle/1826/7503","
Moore, David M.; Antill, Peter D.; Foden-Ellis, N. J.
","(2002-04-01)"," of  expeditionary operations envisaged for the UK Armed forces in the future.20 This  concept has been adopted as the Maritime Contribution to Joint Operations (MCJO)  and its main thrust centres around force projection and its four enabling tenets (force... 2010 (discussed earlier). The MCJO concept entails:  • Force Projection – This is at the heart of the MCJO concept and will be  conducted by Command and Control Warfare (C2W), Maritime Fires (naval  gunfire and air support) and Air / Ground Manoeuvre... ","Maritime"
"Measurement and modelling of noise-power-distance curves of a fixed-wing UAV","/handle/1826/18055","
Amargianitakis, Daniel C.; Self, Rod; Proenca, Anderson; Boyd, Cameron; Westcott, Oliver; Ferraro, Mario; Erbil, Mehmet Ali; Entwistle, Robert
","(AIAA, 2022-06-13)","-weather patrol missions in coastal and maritime environments. This vehicle has been continuously upgraded and is now used in a broader range of applications. Increasing demand by research and industrial partners, as well as the UK Civil Certification Authority... ","Maritime"
"The weaponisation of the Eastern Mediterranean: refugees as the Trojan horse for diplomatic bargaining","/handle/1826/19004","
Filippidou, Anastasia
","(Taylor & Francis, 2022-10-28)"," of interstate diplomacy. The maritime space and especially the  Mediterranean sea, the inland sea, has the dual role of a barrier or a passage and a security  bridge depending on the intentions and capabilities of those who would use it and try to cross  it... complexity of forced cross border population  movement in a maritime environment. As states above, the maritime space has the dual role of  a barrier or a passage, but this depends on the intentions and capabilities of those who would  cross it, the power... ","Maritime"
"Chapter 16: the battle of the Aegates Islands, 241 BC: mapping a naval encounter, 2005-2019","/handle/1826/17292","
Tusa, Sebastiano; Campbell, Peter; Polakowski, Mateusz; Murray, William; Oliveri, Francesca; Buccellato, Cecilia; Fresina, Adriana; Li Vigni, Valeria
","(Oxbow Books, 2021-07)"," collaboration between the Soprintendenza del Mare,  RPM Nautical Foundation, and Global Underwater Explorers, surveying an area of 270 km2 with the main concentration of the battle spread over 4 km2. This chapter provides an  overview of the 2005-2019 maritime... 2005-2019, which is  currently the longest running underwater excavation below recreation diving limits, as well as  among the most expensive maritime archaeology projects in history. The article collates the  findings and presenting a general... ","Maritime"
"Techno-environmental mission evaluation of combined cycle gas turbines for large container ship propulsion","/handle/1826/18084","
Alzayedi, Abdulaziz M. T.; Batra, Amit; Sampath, Suresh; Pilidis, Pericles
","(MDPI, 2022-06-17)","The stringent regulations set by the International Maritime Organization on pollutant emissions combined with the rise in fuel prices have stimulated research on cleaner fuels and new propulsion systems. This study describes a new method... ","Maritime"
"Techno economic and environmental assessment of wind assisted marine propulsion systems","/handle/1826/10680","
Talluri, L.; Nalianda, Devaiah; Kyprianidis, K. G.; Nikolaidis, Theoklis; Pilidis, Pericles
","(Elsevier, 2016-06-07)","In recent years, the increase in marine fuel prices coupled with stricter regulations on pollutant emissions set by the International Maritime Organization have promoted the research in new propulsion technologies and the utilisation of cleaner... ","Maritime"
"Effects of salt water on the ballistic protective performance of bullet-resistant body armour","/handle/1826/13821","
Dodd, S.; Malbon, Christopher; Critchley, Richard; Lankester, Claire; O’Rourke, S.; Corke, T.; Carr, Debra J.
","(SAGE, 2018-11-09)"," body armour protective elements are water-repellent treated and/or protected by a water-resistant cover. Some of the users operate in the maritime environment. The effect of salt water on body armour performance has not been previously reported... ","Maritime"
"Corporate Social Responsibility in Supply Chains of Global Brands: A Boundaryless Responsibility? Clarifications, exceptions and implications","/handle/1826/3312","
Amaeshi, Kenneth; Osuji, Onyeka Kingsley; Nnodim, Paul
","(2009-03-30)"," reason for the restructuring exercise was to ―facilitate the  termination of the employees‘ employment‖ (Patrick Stevedores Operations No 2 Pty  Ltd v Maritime Union of Australia (1998): 673; Spender, 2000:40). One other  important result... the corporate group (Maritime Union of Australia v Patrick Stevedores  Operations No. 1 Pty Ltd (1998); Patrick Stevedores Operations No 2 Pty Ltd v  Maritime Union of Australia (1998)). An interlocutory injunction was granted against  the members... ","Maritime"
"Machine learning in sustainable ship design and operation: a review","/handle/1826/18632","
Huang, Luofeng; Pena, Blanca; Liu, Yuanchang; Anderlini, Enrico
","(Elsevier, 2022-10-22)"," combining CO2,  CH4 and N2O, signifying around 2.2% of global anthropogenic Green- house Gases (GHGs) (Smith et al., 2014). By 2050, the maritime trans- port segment needs to reduce its total annual GHG emissions by 50%  compared to 2008 to limit the global... temperature rise to no more than  2 �C above the pre-industrial level (Cames et al., 2015). In this context,  waterborne transport’s role becomes critical, revealing an urge to pro- mote sustainable shipping.  Optimising maritime transport has a long history... ","Maritime"
"Isoprene hotspots at the Western Coast of Antarctic Peninsula during MASEC′16","/handle/1826/13837","
Nadzir, M. S. M.; Cain, M.; Robinson, A. D.; Bolas, C.; Harris, Neil R. P.; Parnikoza, I.; Salimun, E.; Mustafa, E. M.; Alhasa, K. M.; Zainuddin, M. H. M.; Ghee, O. C.; Morris, K.; Khan, M. F.; Latif, M. T.; Wallis, B. M.; Cheah, W.; Zainudin, S. K.; Yusop, N.; Ahmad, M. R; Hussin, W. M. R. W.; Salleh, S. M.; Hamid, H. H. A.; Lai, G. T.; Uning, R.; Bakar, M. A. A.; Ariff, N. M.; Tuah, Z.; Wahab, M. I. A.; Foong, S. Y.; Samah, Azizan Abu; Chenoli, S. N.; Wan Johari, W. L.; Zain, C. R. C. M.; Rahman, N. A.; Rosenstiel, T. N.; Yusof, A. H.; Sabuti, A. A.; Alias, S. A.; Noor, A. Y. M.
","(Elsevier, 2018-12-28)",".001), but not between isoprene and chl-a. The hotspots of isoprene over maritime Antarctic were then were investigated using NAME dispersion model reanalysis. Measurements showed that isoprene mixing ratio were the highest over region of King George Island, Deception... ","Maritime"
"An investigation on the speed dependence of ice resistance using an advanced CFD+DEM approach based on pre-sawn ice tests","/handle/1826/18500","
Huang, Luofeng; Li, Fang; Li, Minghao; Khojasteh, Danial; Luo, Zhenhua; Kujala, Pentti
","(Elsevier, 2022-09-18)"," this study can potentially facilitate improvements in relevant empirical equations, useful for ship design, operational strategies and maritime management in polar regions.... ","Maritime"
"Energy and material efficiency metrics in foundries","/handle/1826/13765","
Pagone, Emanuele; Salonitis, Konstantinos; Jolly, Mark R.
","(Elsevier, 2018-03-07)"," gravity process (AG);   aluminium alloy automotive parts using a low pressure process (ALP) – known also as the Cosworth process;   copper alloy (aluminium bronze – AB) parts for the maritime industry [8,13].  The thermo-physical properties of the cast... gravity process (AG);   aluminium alloy automotive parts using a low pressure process (ALP) – known also as the Cosworth process;   copper alloy (aluminium bronze – AB) parts for the maritime industry [8,13].  The thermo-physical properties of the cast... ","Maritime"
"Beijing's strategic encirclement of Australia","/handle/1826/17333","
Matthews, Ron
","(Australian Public Affairs Information Service, 2021-11-01)"," chains to respond  to threats and exploit intelligence gathering, surveillance system surprise, and cyber warfare.    China’s projection of maritime capability hints of ‘strategic-reach’ ambitions going beyond  reunification of Taiwan... is to establish a strategic foothold in the Pacific islands from which it   4  could threaten Australia. President Xi has already sought to engage numerous islands to  participate in a Pacific maritime 'Silk Road'. As elsewhere, the first step will be to entice... ","Maritime"
"CO2/SO2 emission reduction in CO2 shipping infrastructure","/handle/1826/14229","
Awoyomi, Adeola; Patchigolla, Kumar; Anthony, Edward J.
","(Elsevier, 2019-06-04)"," is currently under increasing pressure to act upon the International Maritime Organisation (IMO) target of reducing greenhouse gas (GHG) emissions to 50% of 2008 levels by 2050 [12]. One vital step in meeting the target is to consider alternative fuel sources... and this technology has also been initiated for ships. One advantage of this is that it can be installed on existing vessels without replacement of ship engines. Dry and wet scrubbers are already in use in the marine market Nomenclature IMO International Maritime... ","Maritime"
"Chemical characterisation of water-soluble ions in atmospheric particulate matter on the East Coast of Peninsular Malaysia","/handle/1826/13895","
Farren, Naomi J.; Dunmore, Rachel E.; Mead, Mohammed Iqbal; Mohd Nadzir, Mohd Shahrul; Abu Samah, Azizan; Phang, Siew-Moi; Bandy, Brian J.; Sturges, William T.; Hamilton, Jacqueline F.
","(European Geosciences Union (EGU) / Copernicus Publications, 2019-02-06)"," of atmospheric composition in the Maritime Continent, a region of the tropics that is vulnerable to the effects of poor air quality, largely as a result of rapid industrialisation in East Asia.... ","Maritime"
"The role of offset in the enduring gestation of Indonesia’s strategic industries","/handle/1826/17843","
Maharani, Curie; Matthews, Ron
","(Taylor & Francis, 2022-04-24)"," through the PMP. The plan sought to promote  a comprehensive defence industrial base, driven, firstly, by the creation of key value-adding  industrial nodes within the economy, such as aerospace, maritime and vehicles, and secondly, by  cultivation... and systems. This would lead logically to the fourth stage of conducting basic research. Habibie determined that nine categories of industrial transformation were required, and  these were prioritised as aerospace, maritime and shipbuilding, land... ","Maritime"
"Managing variability in ocean shipping","/handle/1826/8421","
Harrison, Alan; Fichtinger, Johannes
","(Mcb, 2013-07-31)"," with the port operator Forth Ports, the shipping information provider Sea Intel Maritime Analysis, freight forwarder (Damco), and with logistics service providers like CEVA Logistics and Kühne and Nagel. We also collected data from academic sources, and industry... movement variability when compared to port movement variability is also relatively low. Notteboom (2006) found that ocean schedule variability or delay is attributed to four distinct groups: terminal operations, port access, maritime passages, and chance... ","Maritime"
"The British Army in Transition: from army 2020 to the Strike Brigades and the logistics of future operations","/handle/1826/12313","
Antill, Peter D.; Smith, J. C.
","(Taylor & Francis, 2017-08-08)"," in Maritime and Air operations than in Land operations. The argument goes that for Maritime and Air, support resources can be linked reasonably proportionately to deployed platforms (aircraft and ships), which can be linked in turn to Final Outputs... might face may be further exacerbated by a reality of Land operations versus those of Maritime and Air which was highlighted in the 2010 Defence Support Review: ‘...that its support costs proportionately include more personnel than equipment... ","Maritime"
"Chapter 25: Singapore’s defence-industrial ecosystem","/handle/1826/14687","
Matthews, Ron
","(Taylor and Francis, 2019-11-20)"," and maritime territorial disputes, ‘water wars’ with Malaysia and actual military conflict with Indonesian armed forces during the latter’s aggressive Konfrontasi era. It is little wonder, therefore, that Singapore felt vulnerable, and sought to quickly develop... is not quarantined from the wider economic community. It is, therefore, instructive that across ST Engg’s four subsidiary companies, only kinetics is dedicated to military outputs. The other three, aerospace, maritime and electronics, are civil... ","Maritime"
"Techno-environmental evaluation of liquefied natural gas fuelled combined gas turbine with steam cycles for large container ship propulsion systems","/handle/1826/17620","
Alzayedi, Abdulaziz M. T.; Sampath, Suresh; Pilidis, Pericles
","(MDPI, 2022-02-27)"," is to find appropriate advanced combined gas and steam turbine cycles for marine propulsion systems in a large container ship with respect to the evolving maritime environmental regulations. The selection criteria are the thermodynamic performance, emissions... ","Maritime"
"Offshore wind decommissioning: an assessment of the risk of operations","/handle/1826/17519","
Shafiee, Mahmood; Adedipe, Tosin
","(Taylor & Francis, 2022-01-12)"," as offshore oil and gas decommissioning. However, in the context of safety management, there are standards and regulations that duty holders in both sectors take into account. Some examples are the International Maritime Organisation (IMO) FSA regulations... information the readers can refer to HSE (2002); Mar- itime (2017); International Maritime Organisation (2018) and BSI (2018, 2019, 2020). The risk management literature has predominantly focused on the early andmid-stages of offshore wind farmdevelopment... ","Maritime"
