sep=_
Title,Href,Author,Date,Abstract,Keyword
" “Christ offered salvation, and not an easy life”: How do port chaplains make sense of providing welfare for seafarers? An idiographic, phenomenological approach analysis   ","/xmlui/handle/123456789/42424","Palmer, T; Murray, E","(Via Medica, 2016-06-28)","Background: The shipping industry has historically leaned towards a biomedical model of health when assessing, treating and caring for seafarers. In recent years there has been more concern for the mental health of seafarers ...","Maritime"
" Securitization of Search and Rescue at Sea: The Response to Boat Migration in the Mediterranean and Offshore Australia   ","/xmlui/handle/123456789/31493","MORENO-LAX, V; Ghezelbash, D; Klein, N; Opeskin, B","(Cambridge University Press (CUP), 2018-01-16)"," was decisive; while Malta relied on the closer proximity of Italian territory. Against the backdrop of ongoing irregular maritime flows from North Africa to Europe, it was clear that neither country  1 2 3  4  M Daly, ‘A Race against Time and Ocean’ The Age...) and Australia from a fundamentally humanitarian mission of SAR to a complex, securitized  5 6  7  P Matthews, ‘Australian Refugee Protection in the Wake of the Tampa’ (2002) 96 AJIL 661. N Klein, ‘A Case for Harmonizing Laws on Maritime Interceptions... ","Maritime"
" The Jurisprudence of Artisanal Fishing Rights Revisited   ","/xmlui/handle/123456789/60423","Allen, S","(2019)"," the international legal order. II.  The Character of Traditional/Artisanal Fishing Rights  Traditional fishing rights have been acknowledged to exist in situations where States have been engaged in processes of maritime delimitation. In such cases, the exercise... of non-exclusive fishing rights which have long persisted in a given maritime area have been interpreted as a legitimate – but exceptional – factor in determining the position of maritime boundaries. 8 Such rights may also be recognized when an area... ","Maritime"
" Capitalism and the sea: Sovereignty, territory and appropriation in the global ocean   ","/xmlui/handle/123456789/28663","Campling, L; Colas, A","(2018-08)",", territory and appropriation in the capture and coding of maritime space and how environmental conditions matter to these incursions of capital.� �Of course our planet has for most of its existence been characterised by the separation between firm land... piracy and maritime empires.   Our argument is that each of the three spaces where land meets sea highlights certain experimental dynamics in capitalist development and its particular relationship to the global ocean. These are all, to be sure, fleeting... ","Maritime"
" Oceans of Finance and Commodification   ","/xmlui/handle/123456789/82248","Khalili, L","(2022-01-01)","In this essay Khalili surveys the maritime as a space of commodification and of creation of new financial forms and instruments. Maritime transportation made possible the colonization of the Americas, Asia, and Africa and the enslavement... ","Maritime"
" Protection at Sea and the Denial of Asylum   ","/xmlui/handle/123456789/69004","Moreno-Lax, V","",").  Protection at Sea and the Denial of Asylum Violeta Moreno-Lax 1. INTRODUCTION Maritime migration in search of refuge has a long history.1 The exodus of Vietnamese ‘boat people’ in 1979 is a well-known example.2 Since then, the oceans increasingly have become...) 1833 UNTS 3 (UNCLOS), art 98; International Convention for the Safety of Life at Sea (adopted 1 November 1974, entered into force 25 May 1980) 1184 UNTS 278 (SOLAS Convention); International Convention on Maritime Search and Rescue (adopted 27 April... ","Maritime"
" The EU Humanitarian Border and the Securitization of Human Rights:The “Rescue-through-Interdiction/Rescue-without-Protection” Paradigm   ","/xmlui/handle/123456789/29823","MORENO-LAX, V","(Wiley, 2017-12-11)","This article looks at securitization/humanitarianization dynamics in the EU external sea borders to track and critique the substantial transformation of the role played by human rights in the Mediterranean. Mapping the evolution of maritime... ","Maritime"
" The EU Humanitarian Border and the Securitization of Human Rights: The “Rescue-through-Interdiction/Rescue-without-Protection” Paradigm   ","/xmlui/handle/123456789/29803","MORENO-LAX, V","(Wiley, 2017-12-11)","This article looks at securitization/humanitarianization dynamics in the EU external sea borders to track and critique the substantial transformation of the role played by human rights in the Mediterranean. Mapping the evolution of maritime... ","Maritime"
" Between Life, Security and Rights: Framing the Interdiction of ‘Boat Migrants’ in the Central Mediterranean and Australia   ","/xmlui/handle/123456789/58992","Moreno-Lax, V; Ghezelbash, D; Klein, N","(Cambridge University Press (CUP), 2019-09-17)"," Convention on the Law of the Sea (UNCLOS) commitment to a holistic understanding of states’ maritime powers that takes account of ‘other rules of international law’.12 Prior to our case study analyses, we thus situate the relevant regimes in Section 2...’ and 	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	    	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	    	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	    	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	    	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	   	    See also N. Klein, ‘A Case for Harmonizing Laws on Maritime Interceptions of Irregular Migrants’, (2014) 63 ICLQ 787, 803-804. 9 1969 Vienna Convention on the Law of Treaties (‘VCLT’), 1155 U.N.T.S. 331, Art 26. For analysis, see, generally, R. Kolb... ","Maritime"
" Pirates, Privateers and the Political Economy of Private Violence   ","/xmlui/handle/123456789/9431","MABEE, B","(2009)",": Royal Institute of International Affairs, 2008); and Martin M. Murphy, Contemporary Piracy and Maritime Terrorism: The Threat to International Security, Adelphi Paper 388 (London: Routledge, 2008). 5 Puchala provides one interesting take on this... jurisdiction, which was not resolved until the end of the nineteenth century. In fact, the issue of legality (and tied into legitimacy) at sea was even more contentious than this: as Benton notes, in the early modern period maritime violence, particularly... ","Maritime"
" Article 297 of the United Nations Convention on the Law of the Sea and the Scope of Mandatory Jurisdiction   ","/xmlui/handle/123456789/24683","ALLEN, SR",""," on 21 and 22 September 2016. I am grateful to Nigel Bankes for his very helpful comments and suggestions on a draft version of this essay. 1 10 December 1982, (1982) 21 ILM 1261, (1994) 1833 UNTS 3.  �2 jurisdiction in its extended maritime areas. 2... international norms for the protection and preservation of the marine environment in the extended maritime zones – permits reference not only to norms contained in the Convention but also to those rules and principles established by other international... ","Maritime"
" International energy governance: Selected legal issues   ","/xmlui/handle/123456789/57738","Leal-Arcas, R; Filis, A; Abu Gosh, ES","(2014-11-28)"," on interstate energy cooperation, such as energy transit, energy market liberalization and energy investment. Others focus on specific areas of such cooperation, such as trade and energy; trade, environment and energy; and energy exploration and maritime... ","Maritime"
" The International Convention for the Prevention of Pollution from Ships (MARPOL)   ","/xmlui/handle/123456789/82286","Fitzmaurice, M","(Edward Elgar Publishing, 2022-12-28)"," February 2021; and A Michaelowa and K Krause, ‘International Maritime Transport and Climate Policy’ (2000) 35 Intereconomics 127, 128. 2 	 Michaelowa and Krause (n 1) 128. 3 	 See Oceana, ‘Shipping Pollution’, https... Vessels: The Potential and Limits of the Maritime International Organization (Springer International Publishing 2015), in particular ch 3. 7 	 Conservation International, ‘Ocean Pollution: 11 Facts You Need to Know’, https://​ www​ .conservation... ","Maritime"
" The British Empire and the Two Sicilies: Constitutions and International Law in a Revolutionary Mediterranean, c. 1800-1860   ","/xmlui/handle/123456789/81868","Grieco, G",""," of Maritime Law ..... 136 V. Conclusion .................................................................................................... 144  To the Aid of the Sicilians Imperial Protection, Humanitarian Intervention, and the Duo-Sicilian Civil War, c... of Spaces in Modern History, ed. by Paul Stock (New York: Palgrave Macmillan, 2015), 151-171; Lauren Benton and Nathan PerlRosenthal (eds.), A World at Sea: Maritime Practices and Global History (Philadelphia: University of Pennsylvania Press, 2020); Jeppe... ","Maritime"
" How can LNG-fuelled ships meet decarbonisation targets? An environmental and economic analysis   ","/xmlui/handle/123456789/71966","Balcombe, P; Staffell, I; Kerdan, IG; Speirs, JF; Brandon, NP; Hawkes, AD","(Elsevier, 2021-03-01)","-transport is considered the lowest carbon mode of transport per tonne-km, but its sheer magnitude means international shipping is responsible for 1.1 GtCO2 emissions per year, 3% of the global total [2]. If the maritime industry were a country, it would be the world’s... sixth largest CO2 emitter – ahead of Brazil and Germany [2]. 'Business as usual' projections see maritime emissions growing by 50-250% to 2050 due to population and economic growth [3], but in 2018 the International Maritime Organization (IMO) announced... ","Maritime"
" Exploiting Non-Self-Governing Territory Status: Western Sahara and the New EU/Morocco Sustainable Fisheries Partnership Agreement   ","/xmlui/handle/123456789/65104","Allen, S",""," (DRC v Uganda) (Judgment) (2005) ICJ Rep 168, [244]. 31 Art 2(a) FPA and see Arts 5 and 11. 32 The internationally recognised maritime boundary between Morocco and Western Sahara is located at latitude 27°42’ north. However, the geographical co... Opinion 2018, n 32 [233] – relying on the Guinea-Bissau/Senegal Maritime Delimitation Arbitration Award (1989) 20 RIAA, [51 and 52]).  �13 Mauritania’s military occupation of Western Sahara. Consequently, the EU’s misguided notion of Morocco being... ","Maritime"
" Managing the Risks of Switch Bills of Lading   ","/xmlui/handle/123456789/69442","Goldby, MA","",", and therefore not binding on the shipowner. In another Hong Kong case, namely Daewoo Hong Kong v Mana Maritime Inc and others,� the issue of a switch bill by the charterer changing the shipper’s name was found not to have been authorised by the issuer... ","Maritime"
" Managing the Risks of Switch Bills of Lading   ","/xmlui/handle/123456789/61123","Goldby, M",""," at the International Congress of Maritime Arbitrators, Hong Kong, 12th May 2015. 6 Seyou Products Corporation v Midfa Corporation Pte Ltd [2003] SGDC 141 (Singapore District Court) (hereinafter “Seyou Products”). 7 Seyou Products (n 6), [109]. 8 For example, as of 7th...  Feoso (Singapore) Ltd v Faith Maritime Co Ltd [2003] SGCA 34 (Singapore Court of Appeal) (hereinafter “Feoso”). 10 Feoso (n 9), [63]-[65].  �Fourthly, even if the carrier has consented to (or is deemed to have authorised) the issue of the switch bill... ","Maritime"
" Inland Container Transportation System Planning with Reference to Korean Ports   ","/xmlui/handle/123456789/28853","Koh, Yong-Ki","(Queen Mary University of London, 1999)"," of Korea Maritime Institute.  I thank my family for their love and encouragement;my parents-in-law, my sisters and my brother, Dr. Yong-I1 Koh. Particular thanks are due to my wife, Yu-Sun and my daughter, Jae-Hyun (Prum) for their love.  Finally, my mother...Rail System ODCY: Off-Dock Container Yard ICD: Inland Container Depot KMI: Korea Maritime Institute ROCO: averageroad transport cost per 40 foot container RACO: averagerail transport cost per 40 foot container DIST: distance (Km) from point to port QT... ","Maritime"
" The Isles of Scilly and the Channel Islands: "bench-mark" hydrographic and geodetic surveys 1689-1980   ","/xmlui/handle/123456789/1838","Everard, Cyril","(Queen Mary University of London, 2004)","The English Channel has been both a major maritime artery and a navigator's nightmare for many centuries. Two archipelagoes, the Isles of Scilly to the north and the Channel Islands to the south, have been and remain ...","Maritime"
" Undoing ruination in Jakarta: the gendered remaking of life on a wasted landscape   ","/xmlui/handle/123456789/32345","Tilley, L; Elias, J; Rethel, L","(2017-09-06)"," the attention of passers-by, while the outstretched fishing nets at the front of repair shops made reference to the area’s intimate connection to the maritime industries. Pasar Ikan itself is positioned against the curve of the sea wall, beyond which lies... to maritime economic activities and schools for their children. Astri and Rika have a similar story: they are sisters, descendants of a Bugis family from Sulawesi, who put down roots in the capital four decades ago. Their parents met originally in Kuningan... ","Maritime"
" Border-Induced Displacement: The Ethical and Legal Implications of Distance-Creation through Externalization   ","/xmlui/handle/123456789/55848","MORENO-LAX, V","(Editoriale Scientifica, 2019-02-28)",".unhcr.org/5a056ca07.pdf. 25 IOM, Maritime Update Libyan Coast, 25 October-28 November 2017, www.iom.int/sites/default/files/situation_reports/file/IOM-Libya-Maritime-UpdateLibyan-25Oct-28Nov.pdf. 26 These definitions of coercion and prevention are offered by D...), The Routledge Handbook of the Politics of Migration in Europe (Routledge 2018) 239. 43 Frost & Sullivan, Global Border and Maritime Security Market Assessment Human-Intensive Security on the Border and Maritime Domain Will Increase the Demand for New Technology... ","Maritime"
" People and Things on the Move: Domestic Material Culture, Poverty and Mobility in Victorian London   ","/xmlui/handle/123456789/15063","Owens, A; Jeffries, N","(2016-12-01)","), the complex routines and choreographies of maritime capitalism profoundly  �Int J Histor Archaeol  shaped the everyday life of Limehouse residents. Indeed, the area was colorfully portrayed by Charles Dickens in Our Mutual Friend in 1865 (p. 330) as a Bship’s... mechanized docks further to the East, and the arrival of new Table 1 Census profile of southern portion of Regent Street, Limehouse, 1841–61 Year Born in Middlesex  Born elsewhere in Great Britain  Born outside of Great Britain  Working in maritime Working... ","Maritime"
" SOLVING THE POSSESSION PROBLEM: AN EXAMINATION OF THE LAW COMMISSION’S PROPOSAL ON ELECTRONIC TRADE DOCUMENTS   ","/xmlui/handle/123456789/75091","Goldby, M; Yang, W",""," of Lading” (2005) 11 Fundamina 12, 15–16.  605 © Informa UK plc. No unauthorised copying or sharing of this document is permitted  ©Informa UK plc. No copying or sharing of this document is permitted. Enquiries: clientserv  �606  LLOYD’S MARITIME... is permitted. Enquiries: clientserv  �608  LLOYD’S MARITIME AND COMMERCIAL LAW QUARTERLY  “ … the decision in OBG v Allan prevents us from holding that [intangible property] is amenable of possession so that wrongful interference can constitute the tort... ","Maritime"
" Flows for all mankind’: everyday life, the city and empire on the London Thames 1660-1830   ","/xmlui/handle/123456789/33940","Stockton, Hannah Melissa","(Queen Mary University of London, 2018-01-18)",", earthenware, transfer printed enamel (c. 1814). National Maritime Museum, AAA5169.  138  7  �Figure 1.26  William Daniell, London Bridge, aquatint (1802). London Metropolitan Archives, k1312960.  138  Figure 1.27  John Rennie, Lucknow Bridge over the River... London Bridge to Deptford, on an improved system, hand-coloured engraving (1796). National Maritime Museum, G218:9/78.  140  Figure 1.30  Willey Reveley, Third Plan making three wet docks, engraving (1796). National Maritime Museum, GRB 219:9/41 (3).  141... ","Maritime"
" The Architecture of Functional Jurisdiction: Unpacking Contactless Control – On Public Powers, S.S. and Others v. Italy, and the “Operational Model”   ","/xmlui/handle/123456789/63702","Moreno-Lax, V","",",	   but	   offering	   an	   alternative	   reading,	   this	   article	   proposes	    a	    new	    conceptualization,	    taking	    extraterritorial	    maritime	    migration	    multi-­‐actor	    interventions	   as	   a	   case	   in	   point...	    has	    been	    discarded	    in	    Bankovic,	    supra	    note	    5,	    para.	    75.	    Further	    on	    these	    “encounters,”	    see	    ITAMAR	    MANN,	   HUMANITY	   AT	   SEA:	   MARITIME	   MIGRATION	   AND	   THE	   FOUNDATIONS... ","Maritime"
" Recent retreat at a temperate Icelandic glacier in the context of the last ~80 years of climate change in the North Atlantic region   ","/xmlui/handle/123456789/20621","Chandler, BMP; Evans, DJA; Roberts, DH","(Springer Nature, 2016-12)"," sensitive to climate variations on short-term timescales owing to their maritime setting, and have shown rapid rates of retreat and mass loss during the past decade. This study uses annual moraine spacing as a proxy for ice-frontal retreat to examine... ","Maritime"
" The Operation of Estoppel in International Law and the Function of the Lancaster House Undertakings in the Chagos Arbitration Award   ","/xmlui/handle/123456789/39546","ALLEN, SR",""," waters. The High Commissioner also confirmed that the fishing activities of Mauritian vessels would be allowed within the FCMZ’s extended maritime zone as long as the licensing regime continued to be respected. 81 The Tribunal observed that a considerable... but the parties’ agree that Mauritian vessels were, in effect, designated to fish within this maritime zone at [116]. 77 ibid [118]. BIOT Ordinance 11 of 1984. 78 BIOT Notice No. 7 of 1985. 79 Via BIOT Proclamation No. 1 of 1991. The UK claimed that the FCMZ did... ","Maritime"
" The precautionary principle in international environmental law (with a special focus on the marine environment of Thailand)   ","/xmlui/handle/123456789/405","Thiratangsathira, Urasee","(2010)"," and Coastal Law ILA               International Law Associations ILC               International Law Commission ILM              International Legal Materials ILO               International Labour Organisation  IMCO           Intergovernmental Maritime... Consultative Organisation IMO              International Maritime Organisation INT?L AFF.  International Affairs IOPP             International Oil Spill Prevention IOSC            International Oil Spill Conference ISM               International Safety... ","Maritime"
" The Duterte method: A neoclassical realist guide to understanding a small power’s foreign policy and strategic behaviour in the Asia-Pacific   ","/xmlui/handle/123456789/68850","Magcamit, M","(2019-01-01)"," and maritime territorial disputes with China – seem to go against these general rules. Under the current Duterte administration, the Philippine government has been more vocal in challenging the Western-dominated status quo and has even threatened to reconsider...); and negotiating maritime boundary delimitation with adjoining states and ratifying laws on archipelagic sea lanes and maritime zones (NSC, 2017). Moreover, the document also underscores the ASEAN’s centrality and pivotal role in managing the anticipated impacts... ","Maritime"
" Ships' Boys and Charity in the Mid-Eighteenth Century: The London Marine Society (1756-1772).   ","/xmlui/handle/123456789/1703","Pietsch, Roland W. W.","(Queen Mary University of London, 2003)","' Boys and Charity in the Mid-Eighteenth Century: The London Marine Society (1756-1772) Roland W. W. Pietsch A thesis submitted in partial fulfillment of the requirements for the degree of Doctor of Philosophy in collaboration with the National Maritime... connections to the maritime world, and to deliver an institutional history of the Marine Society in its early years. Though present in significant numbers on board eighteenth-century vessels, ships' boys have rarely been considered by historians. The lack... ","Maritime"
" Troubled Waters. Cod War, Fishing Disputes, and Britain's Fight for the Freedom of the High Seas, 1948-1964   ","/xmlui/handle/123456789/1834","Johannesson, Gudni Thorlacius","(Queen Mary University of London, 2004)","-51  ...............  50  1.5 In 'Cloud Cuckoo Land'  and at  The Hague: The Great Maritime  Power  Revisited, 1949-52  ..................................................................  55  11  Procrastination.  Redefinition  of  the  National Interest  Postponed,  1952...  and  handled  my  declassification  requests.  Hugh  and  Allison  Reid  were  wonderful  hosts.  A  two-month  stipend  from  DAAD,  the  German  Academic Exchange  Service,  allowed me  to  work on  the thesis  at  the  German  Maritime Museum... ","Maritime"
" Why Risk Models should be Parameterised   ","/xmlui/handle/123456789/1145","Marsh, DWR; Bearfield, GJ; MASR-2009 Modeling and Analysis of Safety and Risk in Complex Systems","(2009)",") and [12] (maritime transportation). We have used an example to show how a risk model can be made both clearer and more useful by the addition of explicit parameters. The analysis methodology (in this case, using fault and event trees) is unchanged... factors in risk analysis: A case study in maritime transportation,” Reliability Engineering & System Safety, vol. 93, Jun. 2008, pp. 845-856.  �    ... ","Maritime"
" The Question of Applicability: EU Law or International Law in Nord Stream 2   ","/xmlui/handle/123456789/58039","Gragl, P","(Brill Academic Publishers, 2019-06-11)","","Maritime"
" Natural gas fuel and greenhouse gas emissions in trucks and ships   ","/xmlui/handle/123456789/66538","Speirs, J; Balcombe, P; Blomerus, P; Stettler, M; Achurra-Gonzalez, P; Woo, M; Ainalis, D; Cooper, J; Sharafian, A; Merida, W;...","(2020-01-20)","","Maritime"
" The Question of Applicability: EU Law or International Law in Nord Stream 2   ","/xmlui/handle/123456789/58739","Gragl, P","(2019-06)","","Maritime"
" Reconstructing Asian faunal introductions to eastern Africa from multi-proxy biomolecular and archaeological datasets   ","/xmlui/handle/123456789/32138","Prendergast, ME; Buckley, M; Crowther, A; Frantz, L; Eager, H; Lebrasseur, O; Hutterer, R; Hulme-Beaman, A; Van Neer, W; Douka, K;...","(2017-08-17)"," introduction to the eastern African coast after the mid-first millennium CE, while another posits introduction dating back to 3000 BCE. These distinct scenarios have implications for understanding the emergence of long-distance maritime connectivity... on the basis of taxonomic identifications inadequately supported by morphometric or other criteria, problematic dating and/or stratigraphic control, and a reliance on rare findings not replicated by subsequent studies [15, 22, 23]. Both models posit maritime... ","Maritime"
" Is the WTO's Approach to International Standards on Services Outdated?   ","/xmlui/handle/123456789/16122","Gari, G","(2016-09)",", or the characteristics of the service supplier or its staff. In fact, standards on services have been playing a crucial role in maritime transport, aviation, telecommunications, professional services, financial services and tourism for many years now, and in recent times... Agreements, Japan –  Australia Free Trade Agreement (FTA), Chile – Hong Kong FTA, Trans-Pacific Partnership, China-Australia FTA and in leaked drafts of Trade in Services Agreement Annexes on financial servic es, international maritime transport... ","Maritime"
" The biocultural origins and dispersal of domestic chickens   ","/xmlui/handle/123456789/85674","Peters, J; Lebrasseur, O; Irving-Pease, EK; Paxinos, PD; Best, J; Smallman, R; Callou, C; Gardeisen, A; Trixl, S; Frantz, L;...","(2022-06-14)"," merchants both established trading posts on the Moroccan Atlantic coast (69) or somewhat inland (70), it is possible that chickens were introduced from Berber-speaking Northwest Africa to West Africa primarily by maritime trade. The subsequent dispersal from... networks, suggesting that the chicken’s initial dispersal in Europe was primarily through maritime routes. Chicken farming became ﬁrmly established in western continental Europe during the late Iron Age and under Roman cultural inﬂuence in the Low Countries... ","Maritime"
" Large-Eddy Simulation of Microvortex Generators in a Turbulent Boundary Layer   ","/xmlui/handle/123456789/70408","Heffron, A; Williams, J; Avital, EJ","(American Society of Mechanical Engineers, 2021-01-19)","The present study investigates the flow physics on MicroVortex Generators (MVGs) in order to improve their performance in turbulent boundary layers (TBLs). TBLs can be a challenging environment for MVGs because of the ...","Maritime"
" Protean Ulyssisms in Portuguese Modernism: Reconceptualizations of Nationhood and Interactions with Brazil   ","/xmlui/handle/123456789/12920","Sousa, Lisandra","(Queen Mary University of London, 2016-03-16)"," in the Portuguese epic Os Lusíadas in the sixteenth century (1572), a work highly influenced by the European culture of the Renaissance but rooted in the context of the maritime expansion of Portugal. Luís Vaz de Camões’s epic describes Vasco da Gama’s voyage...’s epic poem celebrates the Portuguese language, in keeping with European notions of nationhood in the Renaissance period, whilst the Portuguese were scattering across the globe during their maritime quest. The Portuguese Ulysses, represented by da Gama... ","Maritime"
" Efficiency and ownership with reference to British ports   ","/xmlui/handle/123456789/1534","Liu, Zinan","(Queen Mary University of London, 1992)"," is defmed in terms of who provides port facilities and services. A port basically functions as a meeting point for various transport modes such as maritime shipping, inland navigation, highway and railway transport, pipeline and aeroplane. A bundle... facilities which come with rapid technological advance in maritime transport industries (namely the introduction of cargo unitisation and the development of bulk shipments). Many companies were forced to leave the industry because of inability to cope... ","Maritime"
" Carl Schmitt and the American Century   ","/xmlui/handle/123456789/28858","DROLET, J","(Manchester University Press, 2017-07-01)"," considered maritime violence a private matters), commercial adventurers, immigrants and other social forces associated with the Puritan revolution, and who found in colonial expansion a means to escape from the hierarchical politics of statehood... economic links with the enemy. Land warfare implied a decisive confrontation in the field. While not excluding naval combat, the maritime war, on the other hand, favored such characteristic means as bombardment, the blockade of the enemy shores... ","Maritime"
" Fundamental Principles of Insurance Contract Law and Practice in the People's Republic of China A Comparative Study with English and Australian Counterparts   ","/xmlui/handle/123456789/25787","Jing, Zhen","(Queen Mary University of London, 2001-05)"," ........................... Materiality in marine insurance - article 222 of the Maritime Code (PRC)..  4.6 Conclusion  173 174 182 184 187 189  ...........................................................................  5. The Basis of the Contract Clause and the Test of Materiality...'s Congress on 30 June 1995 and became effective as of 1 Oct. 1995.  10  �of legislation  relating to insurance contracts.  of the PRC 19814, the Regulation and the Maritime  These were the Economic  Contract Law  of the PRC on Contract of Property Insurance... ","Maritime"
" Resource contrast in patterned peatlands increases along a climatic gradient   ","/xmlui/handle/123456789/4244","Eppinga, MB; Rietkerk, M; Belyea, LR; Nilsson, MB; De Ruiter, PC; Wassen, MJ","(2010-08)"," to  hollows. Here, we tested these predictions by comparing nutrient distributions among  patterned peatlands in maritime (Scotland), humid temperate (Sweden), and humid  continental (Siberia) climates. The areas comprise a climatic gradient from very wet... peatlands with lower ET:Prec ratios.  More specifically, we compared the nutrient distribution  as previously observed in a humid continental climate  (Siberia) with new observations in maritime (Scotland)  and humid temperate (Sweden) climates. The lowest... ","Maritime"
